strategy,strategy_name,ticker,timeframe_years,total_return_pct,annualized_return_pct,volatility_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,trade_count,avg_trade_return_pct,avg_holding_period_days,benchmark_return_pct,outperformance_pct,data_start,data_end,n_bars
ma_crossover,Moving Average Crossover,SPY,1,3.7339,3.6926,6.994,0.5568330613451896,-8.6828,100.0,1,3.6301,80.0,34.968,-31.2342,2025-04-23,2026-04-27,254
ma_crossover,Moving Average Crossover,SPY,5,51.7594,8.6756,12.3583,0.7382049814417828,-18.7552,66.6667,3,15.8733,385.0,83.5571,-31.7977,2021-04-23,2026-04-27,1258
ma_crossover,Moving Average Crossover,SPY,10,144.8801,9.3586,14.9449,0.6755740527645855,-33.7173,80.0,5,20.7434,555.4,303.1169,-158.2368,2016-04-25,2026-04-27,2516
ma_crossover,Moving Average Crossover,SPY,20,394.1027,8.3061,13.797,0.6490792368142572,-33.7172,80.0,10,19.1063,544.2,689.6127,-295.51,2006-04-24,2026-04-27,5034
ma_crossover,Moving Average Crossover,QQQ,1,8.9811,8.8795,8.9833,0.9983226142773907,-9.3559,100.0,1,8.8721,80.0,46.6865,-37.7055,2025-04-23,2026-04-27,254
ma_crossover,Moving Average Crossover,QQQ,5,94.6267,14.2043,15.4253,0.942371648277177,-22.7683,66.6667,3,27.4833,366.6666666666667,101.4571,-6.8304,2021-04-23,2026-04-27,1258
ma_crossover,Moving Average Crossover,QQQ,10,384.1412,17.0637,18.9298,0.929957080716104,-28.5594,100.0,5,38.0412,557.4,553.5375,-169.3963,2016-04-25,2026-04-27,2516
ma_crossover,Moving Average Crossover,QQQ,20,1084.9928,13.1428,17.1707,0.807171123233122,-28.5594,83.3333,12,25.5655,470.1666666666667,1748.7183,-663.7255,2006-04-24,2026-04-27,5034
ma_crossover,Moving Average Crossover,BTC-USD,1,-8.1082,-8.0239,5.9969,-0.9322710432388421,-11.2397,0.0,1,-8.1082,8.0,-17.5133,9.4051,2025-04-23,2026-04-27,370
ma_crossover,Moving Average Crossover,BTC-USD,5,18.4058,3.4271,28.559,0.22342572533875876,-44.8145,60.0,5,9.6104,181.6,51.2699,-32.8641,2021-04-23,2026-04-27,1831
